product_family,variant_id,variant_id Shopify,color,size,print_type,product_uid
sweatshirt,abc38275-66ee-4852-b15e-5488897784ab,52880881942868,Light Pink, M,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_m_gco_light-pink_gpr_chstlg-emb_gildan_18000
sweatshirt,6966bc43-adcc-47b4-8577-014a409f0add,52880881975636,Light Pink, L,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_l_gco_light-pink_gpr_chstlg-emb_gildan_18000
sweatshirt,8fdd4f86-9335-4414-81f8-5a5d32778a29,52880882008404,Light Pink, XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_xl_gco_light-pink_gpr_chstlg-emb_gildan_18000
sweatshirt,b56a607f-8ed9-435b-aca4-ebf3040232a2,52880882041172,Light Pink, 2XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_2xl_gco_light-pink_gpr_chstlg-emb_gildan_18000
sweatshirt,35c1df65-a5cc-4a0e-88bd-f90652158754,52880882073940,Light Pink, 3XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_3xl_gco_light-pink_gpr_chstlg-emb_gildan_18000
sweatshirt,2c993f86-fda7-4e29-b583-8f05c4f3be3a,52880882106708,Sand, S,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_s_gco_sand_gpr_chstlg-emb_gildan_18000
sweatshirt,a864e4d3-5952-4497-8ad8-b7f5ca700821,52880882139476,Sand, M,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_m_gco_sand_gpr_chstlg-emb_gildan_18000
sweatshirt,f678d6c1-057d-43d4-bc68-9f367192110e,52880882172244,Sand, L,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_l_gco_sand_gpr_chstlg-emb_gildan_18000
sweatshirt,cf93d026-4d5a-4bcc-8e55-e0f9f1cace1f,52880882205012,Sand, XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_xl_gco_sand_gpr_chstlg-emb_gildan_18000
sweatshirt,c0d3c5da-a0c7-4c19-8b0d-649848503bd7,52880882237780,Sand, 2XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_2xl_gco_sand_gpr_chstlg-emb_gildan_18000
sweatshirt,03de45e3-753d-4035-98dd-7e258b30ecdd,52880882270548,Sand, 3XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_3xl_gco_sand_gpr_chstlg-emb_gildan_18000
sweatshirt,1e3d92bb-4369-448e-8e9a-21ccb7d27905,52880882303316,Light Blue, S,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_s_gco_light-blue_gpr_chstlg-emb_gildan_18000
sweatshirt,7f2378eb-e1ac-4879-a07c-6f5832fc3189,52880882336084,Light Blue, M,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_m_gco_light-blue_gpr_chstlg-emb_gildan_18000
sweatshirt,0bd9b097-d46e-4407-8d83-d420499f555d,52880882368852,Light Blue, L,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_l_gco_light-blue_gpr_chstlg-emb_gildan_18000
sweatshirt,0ca54c03-668e-46d6-9e9b-29e38e4cc134,52880882401620,Light Blue, XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_xl_gco_light-blue_gpr_chstlg-emb_gildan_18000
sweatshirt,86bc2446-3a18-4f80-8db2-fc3f2721b0bb,52880882434388,Light Blue, 2XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_2xl_gco_light-blue_gpr_chstlg-emb_gildan_18000
sweatshirt,ec756ccd-9d7a-4425-afd9-050185065201,52880882467156,Light Blue, 3XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_3xl_gco_light-blue_gpr_chstlg-emb_gildan_18000
sweatshirt,7feb17cb-2c4a-419d-84fa-c8c29c53cc9a,52880882499924,SportGrey, S,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_s_gco_sport-grey_gpr_chstlg-emb_gildan_18000
sweatshirt,54fd3e07-30a5-46df-92c4-6bdb49392480,52880882532692,SportGrey, M,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_m_gco_sport-grey_gpr_chstlg-emb_gildan_18000
sweatshirt,29efd4bf-f413-475e-927a-378a583b8554,52880882565460,SportGrey, L,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_l_gco_sport-grey_gpr_chstlg-emb_gildan_18000
sweatshirt,9af805d2-5cd5-4d10-82da-3e48f4f2da72,52880882598228,SportGrey, XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_xl_gco_sport-grey_gpr_chstlg-emb_gildan_18000
sweatshirt,6390ee72-cfa3-461f-acca-a8c209bc6dcf,52880882630996,SportGrey, 2XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_2xl_gco_sport-grey_gpr_chstlg-emb_gildan_18000
sweatshirt,37af8003-412e-4c93-8db0-c6db99463770,52880882663764,SportGrey, 3XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_3xl_gco_sport-grey_gpr_chstlg-emb_gildan_18000
sweatshirt,5f5f7500-83d7-4058-8927-d8d50a49080b,52880882696532,Military Green, S,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_s_gco_military-green_gpr_chstlg-emb_gildan_18000
sweatshirt,92fbc4dd-4292-471b-97bf-6539f414a6dd,52880882729300,Military Green, M,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_m_gco_military-green_gpr_chstlg-emb_gildan_18000
sweatshirt,14682fbe-c9f1-432d-bd1d-dbdc15203127,52880882762068,Military Green, L,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_l_gco_military-green_gpr_chstlg-emb_gildan_18000
sweatshirt,251f39d0-75e1-47f9-b673-b9f9f270259f,52880882794836,Military Green, XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_xl_gco_military-green_gpr_chstlg-emb_gildan_18000
sweatshirt,d497dbae-3554-4e20-9f8d-6dd1ce8086a2,52880882827604,Military Green, 2XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_2xl_gco_military-green_gpr_chstlg-emb_gildan_18000
sweatshirt,2bb556f9-daf8-40ab-bbeb-e2314f6667f8,52880882860372,Military Green, 3XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_3xl_gco_military-green_gpr_chstlg-emb_gildan_18000
sweatshirt,0e25d1ca-b5a0-440d-9a3c-aba1a3c64ca2,52880882893140,Dark Heather, S,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_s_gco_dark-heather_gpr_chstlg-emb_gildan_18000
sweatshirt,7b27ee76-fb25-425f-bc34-6080beeda547,52880882925908,Dark Heather, M,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_m_gco_dark-heather_gpr_chstlg-emb_gildan_18000
sweatshirt,f5507565-5031-4d7f-8d5d-9cf3dc89c0e1,52880882958676,Dark Heather, L,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_l_gco_dark-heather_gpr_chstlg-emb_gildan_18000
sweatshirt,26f0ca45-c310-47c5-8323-168a2629821e,52880882991444,Dark Heather, XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_xl_gco_dark-heather_gpr_chstlg-emb_gildan_18000
sweatshirt,b96c968d-61be-4cad-a1d7-6c9d1ea31a0e,52880883024212,Dark Heather, 2XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_2xl_gco_dark-heather_gpr_chstlg-emb_gildan_18000
sweatshirt,816ac68f-980a-4837-92cd-33aafd93c7ce,52880883056980,Dark Heather, 3XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_3xl_gco_dark-heather_gpr_chstlg-emb_gildan_18000
sweatshirt,e5bbbc15-ea55-427e-a040-432a59de64e2,52880883089748,Red, S,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_s_gco_red_gpr_chstlg-emb_gildan_18000
sweatshirt,cc500eea-d441-4c03-8286-ad828f9bf93f,52880883122516,Red, M,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_m_gco_red_gpr_chstlg-emb_gildan_18000
